occupation_code	occupation_text	display_level	selectable	sort_sequence
274031	Camera operators, television, video, and motion picture	4	T	461	
27403X	Television, video, and motion picture camera operators and editors	3	T	460	
274XXX	Media and communication equipment workers	2	T	452	
27XXXX	Arts, design, entertainment, sports, and media occupations	1	T	407	
291011	Chiropractors	4	T	467	
29101X	Chiropractors	3	T	466	
291021	Dentists, general	4	T	469	
291022	Oral and maxillofacial surgeons	4	T	470	
29102X	Dentists	3	T	468	
291041	Optometrists	4	T	476	
29104X	Optometrists	3	T	475	
291051	Pharmacists	4	T	478	
29105X	Pharmacists	3	T	477	
291061	Anesthesiologists	4	T	480	
291062	Family and general practitioners	4	T	481	
291064	Obstetricians and gynecologists	4	T	483	
291066	Psychiatrists	4	T	485	
291067	Surgeons	4	T	486	
29106X	Physicians and surgeons	3	T	479	
291071	Physician assistants	4	T	488	
29107X	Physician assistants	3	T	487	
291123	Physical therapists	4	T	493	
291126	Respiratory therapists	4	T	496	
29112X	Therapists	3	T	491	
291131	Veterinarians	4	T	500	
29113X	Veterinarians	3	T	499	
291141	Registered nurses	4	T	502	
29114X	Registered nurses	3	T	501	
291151	Nurse anesthetists	4	T	504	
29115X	Nurse anesthetists	3	T	503	
29119X	Miscellaneous health diagnosing and treating practitioners	3	T	511	
291XXX	Health diagnosing and treating practitioners	2	T	465	
292011	Medical and clinical laboratory technologists	4	T	514	
292012	Medical and clinical laboratory technicians	4	T	515	
29201X	Clinical laboratory technologists and technicians	3	T	513	
292032	Diagnostic medical sonographers	4	T	520	
29203X	Diagnostic related technologists and technicians	3	T	518	
292041	Emergency medical technicians and paramedics	4	T	525	
29204X	Emergency medical technicians and paramedics	3	T	524	
292051	Dietetic technicians	4	T	527	
292053	Psychiatric technicians	4	T	529	
292055	Surgical technologists	4	T	531	
292056	Veterinary technologists and technicians	4	T	532	
29205X	Health practitioner support technologists and technicians	3	T	526	
292061	Licensed practical and licensed vocational nurses	4	T	535	
29206X	Licensed practical and licensed vocational nurses	3	T	534	
292XXX	Health technologists and technicians	2	T	512	
299011	Occupational health and safety specialists	4	T	545	
29901X	Occupational health and safety specialists and technicians	3	T	544	
299091	Athletic trainers	4	T	548	
29909X	Miscellaneous health practitioners and technical workers	3	T	547	
299XXX	Other healthcare practitioners and technical occupations	2	T	543	
29XXXX	Healthcare practitioners and technical occupations	1	T	464	
311011	Home health aides	4	T	553	
311013	Psychiatric aides	4	T	554	
311014	Nursing assistants	4	T	555	
31101X	Nursing, psychiatric, and home health aides	3	T	552	
311XXX	Nursing, psychiatric, and home health aides	2	T	551	
319011	Massage therapists	4	T	566	
31901X	Massage therapists	3	T	565	
319092	Medical assistants	4	T	569	
319093	Medical equipment preparers	4	T	570	
319097	Phlebotomists	4	T	574	
31909X	Miscellaneous healthcare support occupations	3	T	567	
319XXX	Other healthcare support occupations	2	T	564	
31XXXX	Healthcare support occupations	1	T	550	
331011	First-line supervisors of correctional officers	4	T	578	
331012	First-line supervisors of police and detectives	4	T	579	
33101X	First-line supervisors of law enforcement workers	3	T	577	
331021	First-line supervisors of fire fighting and prevention workers	4	T	581	
33102X	First-line supervisors of fire fighting and prevention workers	3	T	580	
33109X	Miscellaneous first-line supervisors, protective service workers	3	T	582	
331XXX	Supervisors of protective service workers	2	T	576	
332011	Firefighters	4	T	585	
33201X	Firefighters	3	T	584	
332022	Forest fire inspectors and prevention specialists	4	T	588	
33202X	Fire inspectors	3	T	586	
332XXX	Fire fighting and prevention workers	2	T	583	
333011	Bailiffs	4	T	591	
333012	Correctional officers and jailers	4	T	592	
33301X	Bailiffs, correctional officers, and jailers	3	T	590	
333021	Detectives and criminal investigators	4	T	594	
33302X	Detectives and criminal investigators	3	T	593	
333031	Fish and game wardens	4	T	596	
33303X	Fish and game wardens	3	T	595	
333041	Parking enforcement workers	4	T	598	
33304X	Parking enforcement workers	3	T	597	
333051	Police and sheriff's patrol officers	4	T	600	
33305X	Police officers	3	T	599	
333XXX	Law enforcement workers	2	T	589	
339011	Animal control workers	4	T	604	
33901X	Animal control workers	3	T	603	
339021	Private detectives and investigators	4	T	606	
33902X	Private detectives and investigators	3	T	605	
339032	Security guards	4	T	609	
33903X	Security guards and gaming surveillance officers	3	T	607	
339091	Crossing guards	4	T	611	
339092	Lifeguards, ski patrol, and other recreational protective service workers	4	T	612	
339093	Transportation security screeners	4	T	613	
33909X	Miscellaneous protective service workers	3	T	610	
339XXX	Other protective service workers	2	T	602	
33XXXX	Protective service occupations	1	T	575	
351011	Chefs and head cooks	4	T	617	
351012	First-line supervisors of food preparation and serving workers	4	T	618	
35101X	First-line supervisors of food preparation and serving workers	3	T	616	
351XXX	Supervisors of food preparation and serving workers	2	T	615	
352011	Cooks, fast food	4	T	621	
352012	Cooks, institution and cafeteria	4	T	622	
352014	Cooks, restaurant	4	T	624	
35201X	Cooks	3	T	620	
352021	Food preparation workers	4	T	627	
35202X	Food preparation workers	3	T	626	
352XXX	Cooks and food preparation workers	2	T	619	
353011	Bartenders	4	T	630	
35301X	Bartenders	3	T	629	
353021	Combined food preparation and serving workers, including fast food	4	T	632	
353022	Counter attendants, cafeteria, food concession, and coffee shop	4	T	633	
35302X	Fast food and counter workers	3	T	631	
353031	Waiters and waitresses	4	T	635	
35303X	Waiters and waitresses	3	T	634	
353XXX	Food and beverage serving workers	2	T	628	
359011	Dining room and cafeteria attendants and bartender helpers	4	T	640	
35901X	Dining room and cafeteria attendants and bartender helpers	3	T	639	
359021	Dishwashers	4	T	642	
35902X	Dishwashers	3	T	641	
35909X	Miscellaneous food preparation and serving related workers	3	T	645	
359XXX	Other food preparation and serving related workers	2	T	638	
35XXXX	Food preparation and serving related occupations	1	T	614	
371011	First-line supervisors of housekeeping and janitorial workers	4	T	649	
371012	First-line supervisors of landscaping, lawn service, and groundskeeping workers	4	T	650	
37101X	First-line supervisors of building and grounds cleaning and maintenance workers	3	T	648	
371XXX	Supervisors of building and grounds cleaning and maintenance workers	2	T	647	
372011	Janitors and cleaners, except maids and housekeeping cleaners	4	T	653	
372012	Maids and housekeeping cleaners	4	T	654	
37201X	Building cleaning workers	3	T	652	
372021	Pest control workers	4	T	656	
37202X	Pest control workers	3	T	655	
372XXX	Building cleaning and pest control workers	2	T	651	
373011	Landscaping and groundskeeping workers	4	T	659	
373012	Pesticide handlers, sprayers, and applicators, vegetation	4	T	660	
373013	Tree trimmers and pruners	4	T	661	
37301X	Grounds maintenance workers	3	T	658	
373XXX	Grounds maintenance workers	2	T	657	
37XXXX	Building and grounds cleaning and maintenance occupations	1	T	646	
391021	First-line supervisors of personal service workers	4	T	668	
39102X	First-line supervisors of personal service workers	3	T	667	
391XXX	Supervisors of personal care and service workers	2	T	663	
392011	Animal trainers	4	T	671	
39201X	Animal trainers	3	T	670	
392021	Nonfarm animal caretakers	4	T	673	
39202X	Nonfarm animal caretakers	3	T	672	
392XXX	Animal care and service workers	2	T	669	
393031	Ushers, lobby attendants, and ticket takers	4	T	681	
39303X	Ushers, lobby attendants, and ticket takers	3	T	680	
393091	Amusement and recreation attendants	4	T	683	
39309X	Miscellaneous entertainment attendants and related workers	3	T	682	
393XXX	Entertainment attendants and related workers	2	T	674	
394021	Funeral attendants	4	T	690	
39402X	Funeral attendants	3	T	689	
394031	Morticians, undertakers, and funeral directors	4	T	692	
39403X	Morticians, undertakers, and funeral directors	3	T	691	
394XXX	Funeral service workers	2	T	686	
395011	Barbers	4	T	695	
