industry_code	industry_text	display_level	selectable	sort_sequence
3534	Elevators and moving stairways	5 	T	00573	
3535	Conveyors and conveying equipment	5 	T	00574	
3536	Hoists, cranes, and monorails	5 	T	00575	
3537	Industrial trucks and tractors	5 	T	00576	
353X	Construction and related machinery	4 	T	00569	
3541	Machine tools, metal cutting types	5 	T	00578	
3542	Machine tools, metal forming types	5 	T	00579	
3543	Industrial patterns	5 	T	00580	
3544	Special dies, tools, jigs and fixtures	5 	T	00581	
3545	Machine tool accessories	5 	T	00582	
3546	Power-driven handtools	5 	T	00583	
3547	Rolling mill machinery	5 	T	00584	
3548	Welding apparatus	5 	T	00585	
3549	Metalworking machinery, n.e.c.	5 	T	00586	
354X	Metalworking machinery	4 	T	00577	
3552	Textile machinery	5 	T	00588	
3553	Woodworking machinery	5 	T	00589	
3554	Paper industries machinery	5 	T	00590	
3555	Printing trades machinery	5 	T	00591	
3556	Food products machinery	5 	T	00592	
3559	Special industry machinery, n.e.c.	5 	T	00593	
355X	Special industry machinery	4 	T	00587	
3561	Pumps and pumping equipment	5 	T	00595	
3562	Ball and roller bearings	5 	T	00596	
