occupation_code	occupation_text	display_level	selectable	sort_sequence
33109X	Miscellaneous First-Line Supervisors/Managers, Protective Service Workers	3	T	594	
331XXX	First-Line Supervisors/Managers, Protective Service Workers	2	T	588	
332011	Fire Fighters	4	T	598	
33201X	Fire Fighters	3	T	597	
33202X	Fire Inspectors	3	T	599	
332XXX	Fire Fighting and Prevention Workers	2	T	596	
333012	Correctional Officers and Jailers	4	T	605	
33301X	Bailiffs, Correctional Officers, and Jailers	3	T	603	
333021	Detectives and Criminal Investigators	4	T	607	
33302X	Detectives and Criminal Investigators	3	T	606	
333031	Fish and Game Wardens	4	T	609	
33303X	Fish and Game Wardens	3	T	608	
333051	Police and Sheriff's Patrol Officers	4	T	613	
33305X	Police Officers	3	T	612	
333XXX	Law Enforcement Workers	2	T	602	
339032	Security Guards	4	T	622	
33903X	Security Guards and Gaming Surveillance Officers	3	T	620	
339091	Crossing Guards	4	T	624	
339092	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	4	T	625	
339099	Protective Service Workers, All Other	4	T	626	
33909X	Miscellaneous Protective Service Workers	3	T	623	
339XXX	Other Protective Service Workers	2	T	615	
33XXXX	Protective Service Occupations	1	T	587	
351011	Chefs and Head Cooks	4	T	630	
351012	First-Line Supervisors/Managers of Food Preparation and Serving Workers	4	T	631	
35101X	First-Line Supervisors/Managers, Food Preparation and Serving Workers	3	T	629	
351XXX	Supervisors, Food Preparation and Serving Workers	2	T	628	
352011	Cooks, Fast Food	4	T	634	
352012	Cooks, Institution and Cafeteria	4	T	635	
352014	Cooks, Restaurant	4	T	637	
35201X	Cooks	3	T	633	
352021	Food Preparation Workers	4	T	641	
35202X	Food Preparation Workers	3	T	640	
352XXX	Cooks and Food Preparation Workers	2	T	632	
353011	Bartenders	4	T	644	
35301X	Bartenders	3	T	643	
353021	Combined Food Preparation and Serving Workers, Including Fast Food	4	T	646	
353022	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	4	T	647	
35302X	Fast Food and Counter Workers	3	T	645	
353031	Waiters and Waitresses	4	T	649	
35303X	Waiters and Waitresses	3	T	648	
353XXX	Food and Beverage Serving Workers	2	T	642	
359011	Dining Room and Cafeteria Attendants and Bartender Helpers	4	T	654	
35901X	Dining Room and Cafeteria Attendants and Bartender Helpers	3	T	653	
359021	Dishwashers	4	T	656	
35902X	Dishwashers	3	T	655	
359099	Food Preparation and Serving Related Workers, All Other	4	T	660	
35909X	Miscellaneous Food Preparation and Serving Related Workers	3	T	659	
359XXX	Other Food Preparation and Serving Related Workers	2	T	652	
35XXXX	Food Preparation and Serving Related Occupations	1	T	627	
371011	First-Line Supervisors/Managers of Housekeeping and Janitorial Workers	4	T	664	
371012	First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers	4	T	665	
37101X	First-Line Supervisors/Managers, Building and Grounds Cleaning and Maintenance Workers	3	T	663	
371XXX	Supervisors, Building and Grounds Cleaning and Maintenance Workers	2	T	662	
372011	Janitors and Cleaners, Except Maids and Housekeeping Cleaners	4	T	668	
372012	Maids and Housekeeping Cleaners	4	T	669	
372019	Building Cleaning Workers, All Other	4	T	670	
37201X	Building Cleaning Workers	3	T	667	
372021	Pest Control Workers	4	T	672	
37202X	Pest Control Workers	3	T	671	
372XXX	Building Cleaning and Pest Control Workers	2	T	666	
373011	Landscaping and Groundskeeping Workers	4	T	675	
373013	Tree Trimmers and Pruners	4	T	677	
373019	Grounds Maintenance Workers, All Other	4	T	678	
37301X	Grounds Maintenance Workers	3	T	674	
373XXX	Grounds Maintenance Workers	2	T	673	
37XXXX	Building and Grounds Cleaning and Maintenance Occupations	1	T	661	
391021	First-Line Supervisors/Managers of Personal Service Workers	4	T	685	
39102X	First-Line Supervisors/Managers of Personal Service Workers	3	T	684	
391XXX	Supervisors, Personal Care and Service Workers	2	T	680	
392011	Animal Trainers	4	T	688	
39201X	Animal Trainers	3	T	687	
392021	Nonfarm Animal Caretakers	4	T	690	
39202X	Nonfarm Animal Caretakers	3	T	689	
392XXX	Animal Care and Service Workers	2	T	686	
393091	Amusement and Recreation Attendants	4	T	701	
39309X	Miscellaneous Entertainment Attendants and Related Workers	3	T	700	
393XXX	Entertainment Attendants and Related Workers	2	T	691	
395011	Barbers	4	T	712	
395012	Hairdressers, Hairstylists, and Cosmetologists	4	T	713	
39501X	Barbers and Cosmetologists	3	T	711	
395XXX	Personal Appearance Workers	2	T	710	
396021	Tour Guides and Escorts	4	T	724	
39602X	Tour and Travel Guides	3	T	723	
396XXX	Transportation, Tourism, and Lodging Attendants	2	T	719	
399011	Child Care Workers	4	T	731	
39901X	Child Care Workers	3	T	730	
399021	Personal and Home Care Aides	4	T	733	
39902X	Personal and Home Care Aides	3	T	732	
399032	Recreation Workers	4	T	736	
39903X	Recreation and Fitness Workers	3	T	734	
399099	Personal Care and Service Workers, All Other	4	T	740	
39909X	Miscellaneous Personal Care and Service Workers	3	T	739	
399XXX	Other Personal Care and Service Workers	2	T	729	
39XXXX	Personal Care and Service Occupations	1	T	679	
411011	First-Line Supervisors/Managers of Retail Sales Workers	4	T	744	
411012	First-Line Supervisors/Managers of Non-Retail Sales Workers	4	T	745	
41101X	First-Line Supervisors/Managers, Sales Workers	3	T	743	
411XXX	Supervisors, Sales Workers	2	T	742	
412011	Cashiers	4	T	748	
41201X	Cashiers	3	T	747	
412021	Counter and Rental Clerks	4	T	751	
412022	Parts Salespersons	4	T	752	
41202X	Counter and Rental Clerks and Parts Salespersons	3	T	750	
412031	Retail Salespersons	4	T	754	
41203X	Retail Salespersons	3	T	753	
412XXX	Retail Sales Workers	2	T	746	
413011	Advertising Sales Agents	4	T	757	
41301X	Advertising Sales Agents	3	T	756	
413021	Insurance Sales Agents	4	T	759	
41302X	Insurance Sales Agents	3	T	758	
413031	Securities, Commodities, and Financial Services Sales Agents	4	T	761	
41303X	Securities, Commodities, and Financial Services Sales Agents	3	T	760	
413099	Sales Representatives, Services, All Other	4	T	765	
41309X	Miscellaneous Sales Representatives, Services	3	T	764	
413XXX	Sales Representatives, Services	2	T	755	
414011	Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products	4	T	768	
414012	Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products	4	T	769	
41401X	Sales Representatives, Wholesale and Manufacturing	3	T	767	
414XXX	Sales Representatives, Wholesale and Manufacturing	2	T	766	
419021	Real Estate Brokers	4	T	775	
419022	Real Estate Sales Agents	4	T	776	
41902X	Real Estate Brokers and Sales Agents	3	T	774	
419091	Door-To-Door Sales Workers, News and Street Vendors, and Related Workers	4	T	782	
419099	Sales and Related Workers, All Other	4	T	783	
41909X	Miscellaneous Sales and Related Workers	3	T	781	
419XXX	Other Sales and Related Workers	2	T	770	
41XXXX	Sales and Related Occupations	1	T	741	
431011	First-Line Supervisors/Managers of Office and Administrative Support Workers	4	T	787	
43101X	First-Line Supervisors/Managers of Office and Administrative Support Workers	3	T	786	
431XXX	Supervisors, Office and Administrative Support Workers	2	T	785	
433011	Bill and Account Collectors	4	T	797	
43301X	Bill and Account Collectors	3	T	796	
433031	Bookkeeping, Accounting, and Auditing Clerks	4	T	801	
43303X	Bookkeeping, Accounting, and Auditing Clerks	3	T	800	
433071	Tellers	4	T	809	
43307X	Tellers	3	T	808	
433XXX	Financial Clerks	2	T	795	
434051	Customer Service Representatives	4	T	820	
43405X	Customer Service Representatives	3	T	819	
434081	Hotel, Motel, and Resort Desk Clerks	4	T	826	
43408X	Hotel, Motel, and Resort Desk Clerks	3	T	825	
434111	Interviewers, Except Eligibility and Loan	4	T	828	
43411X	Interviewers, Except Eligibility and Loan	3	T	827	
434171	Receptionists and Information Clerks	4	T	840	
43417X	Receptionists and Information Clerks	3	T	839	
434XXX	Information and Record Clerks	2	T	810	
435021	Couriers and Messengers	4	T	849	
43502X	Couriers and Messengers	3	T	848	
435032	Dispatchers, Except Police, Fire, and Ambulance	4	T	852	
43503X	Dispatchers	3	T	850	
