industry_code	industry_text	display_level	selectable	sort_sequence
324199	All Other Petroleum and Coal Products Manufacturing	7	T	491	
32419X	Other Petroleum and Coal Products Manufacturing	6	T	489	
3241XX	Petroleum and Coal Products Manufacturing	5	T	484	
324XXX	Petroleum and Coal Products Manufacturing	4	T	483	
32511X	Petrochemical Manufacturing	6	T	494	
32512X	Industrial Gas Manufacturing	6	T	495	
325188	All Other Basic Inorganic Chemical Manufacturing	7	T	502	
32518X	Other Basic Inorganic Chemical Manufacturing	6	T	499	
325199	All Other Basic Organic Chemical Manufacturing	7	T	507	
32519X	Other Basic Organic Chemical Manufacturing	6	T	503	
3251XX	Basic Chemical Manufacturing	5	T	493	
325211	Plastics Material and Resin Manufacturing	7	T	510	
32521X	Resin and Synthetic Rubber Manufacturing	6	T	509	
3252XX	Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing	5	T	508	
325314	Fertilizer (Mixing Only) Manufacturing	7	T	519	
32531X	Fertilizer Manufacturing	6	T	516	
3253XX	Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing	5	T	515	
325412	Pharmaceutical Preparation Manufacturing	7	T	524	
32541X	Pharmaceutical and Medicine Manufacturing	6	T	522	
3254XX	Pharmaceutical and Medicine Manufacturing	5	T	521	
32561X	Soap and Cleaning Compound Manufacturing	6	T	531	
32562X	Toilet Preparation Manufacturing	6	T	535	
3256XX	Soap, Cleaning Compound, and Toilet Preparation Manufacturing	5	T	530	
325998	All Other Miscellaneous Chemical Product and Preparation Manufacturing	7	T	542	
32599X	All Other Chemical Product and Preparation Manufacturing	6	T	539	
3259XX	Other Chemical Product and Preparation Manufacturing	5	T	536	
325XXX	Chemical Manufacturing	4	T	492	
326113	Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing	7	T	548	
32611X	Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing	6	T	545	
326122	Plastics Pipe and Pipe Fitting Manufacturing	7	T	551	
32612X	Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing	6	T	549	
326199	All Other Plastics Product Manufacturing	7	T	559	
32619X	Other Plastics Product Manufacturing	6	T	556	
3261XX	Plastics Product Manufacturing	5	T	544	
326211	Tire Manufacturing (except Retreading)	7	T	562	
32621X	Tire Manufacturing	6	T	561	
326291	Rubber Product Manufacturing for Mechanical Use	7	T	566	
32629X	Other Rubber Product Manufacturing	6	T	565	
3262XX	Rubber Product Manufacturing	5	T	560	
326XXX	Plastics and Rubber Products Manufacturing	4	T	543	
327121	Brick and Structural Clay Tile Manufacturing	7	T	575	
32712X	Clay Building Material and Refractories Manufacturing	6	T	574	
3271XX	Clay Product and Refractory Manufacturing	5	T	569	
327212	Other Pressed and Blown Glass and Glassware Manufacturing	7	T	583	
327215	Glass Product Manufacturing Made of Purchased Glass	7	T	585	
32721X	Glass and Glass Product Manufacturing	6	T	581	
3272XX	Glass and Glass Product Manufacturing	5	T	580	
32731X	Cement Manufacturing	6	T	587	
32732X	Ready-Mix Concrete Manufacturing	6	T	588	
327331	Concrete Block and Brick Manufacturing	7	T	590	
32733X	Concrete Pipe, Brick, and Block Manufacturing	6	T	589	
32739X	Other Concrete Product Manufacturing	6	T	592	
3273XX	Cement and Concrete Product Manufacturing	5	T	586	
3274XX	Lime and Gypsum Product Manufacturing	5	T	593	
327991	Cut Stone and Stone Product Manufacturing	7	T	599	
327993	Mineral Wool Manufacturing	7	T	601	
32799X	All Other Nonmetallic Mineral Product Manufacturing	6	T	598	
3279XX	Other Nonmetallic Mineral Product Manufacturing	5	T	596	
327XXX	Nonmetallic Mineral Product Manufacturing	4	T	568	
331111	Iron and Steel Mills	7	T	606	
33111X	Iron and Steel Mills and Ferroalloy Manufacturing	6	T	605	
3311XX	Iron and Steel Mills and Ferroalloy Manufacturing	5	T	604	
33121X	Iron and Steel Pipe and Tube Manufacturing from Purchased Steel	6	T	609	
33122X	Rolling and Drawing of Purchased Steel	6	T	610	
3312XX	Steel Product Manufacturing from Purchased Steel	5	T	608	
33131X	Alumina and Aluminum Production and Processing	6	T	614	
3313XX	Alumina and Aluminum Production and Processing	5	T	613	
331419	Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum)	7	T	624	
33141X	Nonferrous Metal (except Aluminum) Smelting and Refining	6	T	622	
33149X	Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying	6	T	629	
3314XX	Nonferrous Metal (except Aluminum) Production and Processing	5	T	621	
331511	Iron Foundries	7	T	634	
331513	Steel Foundries (except Investment)	7	T	636	
33151X	Ferrous Metal Foundries	6	T	633	
33152X	Nonferrous Metal Foundries	6	T	637	
3315XX	Foundries	5	T	632	
331XXX	Primary Metal Manufacturing	4	T	603	
332116	Metal Stamping	7	T	650	
33211X	Forging and Stamping	6	T	645	
3321XX	Forging and Stamping	5	T	644	
33221X	Cutlery and Handtool Manufacturing	6	T	653	
3322XX	Cutlery and Handtool Manufacturing	5	T	652	
332311	Prefabricated Metal Building and Component Manufacturing	7	T	660	
332312	Fabricated Structural Metal Manufacturing	7	T	661	
332313	Plate Work Manufacturing	7	T	662	
33231X	Plate Work and Fabricated Structural Product Manufacturing	6	T	659	
332321	Metal Window and Door Manufacturing	7	T	664	
332322	Sheet Metal Work Manufacturing	7	T	665	
332323	Ornamental and Architectural Metal Work Manufacturing	7	T	666	
33232X	Ornamental and Architectural Metal Products Manufacturing	6	T	663	
3323XX	Architectural and Structural Metals Manufacturing	5	T	658	
33242X	Metal Tank (Heavy Gauge) Manufacturing	6	T	669	
33243X	Metal Can, Box, and Other Metal Container (Light Gauge) Manufacturing	6	T	670	
3324XX	Boiler, Tank, and Shipping Container Manufacturing	5	T	667	
332618	Other Fabricated Wire Product Manufacturing	7	T	679	
33261X	Spring and Wire Product Manufacturing	6	T	676	
3326XX	Spring and Wire Product Manufacturing	5	T	675	
33271X	Machine Shops	6	T	681	
332722	Bolt, Nut, Screw, Rivet, and Washer Manufacturing	7	T	684	
33272X	Turned Product and Screw, Nut, and Bolt Manufacturing	6	T	682	
3327XX	Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing	5	T	680	
332812	Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers	7	T	688	
332813	Electroplating, Plating, Polishing, Anodizing, and Coloring	7	T	689	
33281X	Coating, Engraving, Heat Treating, and Allied Activities	6	T	686	
3328XX	Coating, Engraving, Heat Treating, and Allied Activities	5	T	685	
33291X	Metal Valve Manufacturing	6	T	691	
332999	All Other Miscellaneous Fabricated Metal Product Manufacturing	7	T	705	
33299X	All Other Fabricated Metal Product Manufacturing	6	T	696	
3329XX	Other Fabricated Metal Product Manufacturing	5	T	690	
332XXX	Fabricated Metal Product Manufacturing	4	T	643	
33311X	Agricultural Implement Manufacturing	6	T	708	
33312X	Construction Machinery Manufacturing	6	T	711	
333132	Oil and Gas Field Machinery and Equipment Manufacturing	7	T	714	
33313X	Mining and Oil and Gas Field Machinery Manufacturing	6	T	712	
3331XX	Agriculture, Construction, and Mining Machinery Manufacturing	5	T	707	
333298	All Other Industrial Machinery Manufacturing	7	T	724	
33329X	Other Industrial Machinery Manufacturing	6	T	718	
3332XX	Industrial Machinery Manufacturing	5	T	715	
33331X	Commercial and Service Industry Machinery Manufacturing	6	T	726	
3333XX	Commercial and Service Industry Machinery Manufacturing	5	T	725	
333415	Air-Conditioning and Warm Air Heating Eqp. and Commercial and Industrial Refrigeration Eqp. Mfg.	7	T	738	
33341X	Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing	6	T	734	
3334XX	Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing	5	T	733	
333511	Industrial Mold Manufacturing	7	T	741	
333512	Machine Tool (Metal Cutting Types) Manufacturing	7	T	742	
333514	Special Die and Tool, Die Set, Jig, and Fixture Manufacturing	7	T	744	
33351X	Metalworking Machinery Manufacturing	6	T	740	
3335XX	Metalworking Machinery Manufacturing	5	T	739	
33361X	Engine, Turbine, and Power Transmission Equipment Manufacturing	6	T	749	
3336XX	Engine, Turbine, and Power Transmission Equipment Manufacturing	5	T	748	
333922	Conveyor and Conveying Equipment Manufacturing	7	T	761	
33392X	Material Handling Equipment Manufacturing	6	T	759	
333995	Fluid Power Cylinder and Actuator Manufacturing	7	T	769	
33399X	All Other General Purpose Machinery Manufacturing	6	T	764	
3339XX	Other General Purpose Machinery Manufacturing	5	T	754	
333XXX	Machinery Manufacturing	4	T	706	
33411X	Computer and Peripheral Equipment Manufacturing	6	T	775	
3341XX	Computer and Peripheral Equipment Manufacturing	5	T	774	
334413	Semiconductor and Related Device Manufacturing	7	T	790	
33441X	Semiconductor and Other Electronic Component Manufacturing	6	T	787	
3344XX	Semiconductor and Other Electronic Component Manufacturing	5	T	786	
334511	Search, Detection, Navigation.	7	T	800	
33451X	Navigational, Measuring, Electromedical, and Control Instruments Manufacturing	6	T	798	
3345XX	Navigational, Measuring, Electromedical, and Control Instruments Manufacturing	5	T	797	
334XXX	Computer and Electronic Product Manufacturing	4	T	773	
33531X	Electrical Equipment Manufacturing	6	T	831	
3353XX	Electrical Equipment Manufacturing	5	T	830	
3359XX	Other Electrical Equipment and Component Manufacturing	5	T	836	
335XXX	Electrical Equipment, Appliance, and Component Manufacturing	4	T	814	
336111	Automobile Manufacturing	7	T	852	
336112	Light Truck and Utility Vehicle Manufacturing	7	T	853	
33611X	Automobile and Light Duty Motor Vehicle Manufacturing	6	T	851	
3361XX	Motor Vehicle Manufacturing	5	T	850	
336211	Motor Vehicle Body Manufacturing	7	T	857	
336212	Truck Trailer Manufacturing	7	T	858	
33621X	Motor Vehicle Body and Trailer Manufacturing	6	T	856	
3362XX	Motor Vehicle Body and Trailer Manufacturing	5	T	855	
33637X	Motor Vehicle Metal Stamping	6	T	872	
336399	All Other Motor Vehicle Parts Manufacturing	7	T	875	
33639X	Other Motor Vehicle Parts Manufacturing	6	T	873	
3363XX	Motor Vehicle Parts Manufacturing	5	T	861	
336411	Aircraft Manufacturing	7	T	878	
336413	Other Aircraft Parts and Auxiliary Equipment Manufacturing	7	T	880	
33641X	Aerospace Product and Parts Manufacturing	6	T	877	
3364XX	Aerospace Product and Parts Manufacturing	5	T	876	
336611	Ship Building and Repairing	7	T	888	
336612	Boat Building	7	T	889	
33661X	Ship and Boat Building	6	T	887	
3366XX	Ship and Boat Building	5	T	886	
33699X	Other Transportation Equipment Manufacturing	6	T	891	
3369XX	Other Transportation Equipment Manufacturing	5	T	890	
336XXX	Transportation Equipment Manufacturing	4	T	849	
33711X	Wood Kitchen Cabinet and Countertop Manufacturing	6	T	897	
337121	Upholstered Household Furniture Manufacturing	7	T	899	
337122	Nonupholstered Wood Household Furniture Manufacturing	7	T	900	
33712X	Household and Institutional Furniture Manufacturing	6	T	898	
3371XX	Household and Institutional Furniture and Kitchen Cabinet Manufacturing	5	T	896	
33721X	Office Furniture (including Fixtures) Manufacturing	6	T	906	
3372XX	Office Furniture (including Fixtures) Manufacturing	5	T	905	
337XXX	Furniture and Related Product Manufacturing	4	T	895	
33911X	Medical Equipment and Supplies Manufacturing	6	T	916	
3391XX	Medical Equipment and Supplies Manufacturing	5	T	915	
33995X	Sign Manufacturing	6	T	938	
33999X	All Other Miscellaneous Manufacturing	6	T	939	
3399XX	Other Miscellaneous Manufacturing	5	T	923	
339XXX	Miscellaneous Manufacturing	4	T	914	
42311X	Automobile and Other Motor Vehicle Merchant Wholesalers	6	T	968	
42312X	Motor Vehicle Supplies and New Parts Merchant Wholesalers	6	T	969	
42314X	Motor Vehicle Parts (Used) Merchant Wholesalers	6	T	971	
4231XX	Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers	5	T	967	
42321X	Furniture Merchant Wholesalers	6	T	973	
42322X	Home Furnishing Merchant Wholesalers	6	T	974	
4232XX	Furniture and Home Furnishing Merchant Wholesalers	5	T	972	
42331X	Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers	6	T	976	
42332X	Brick, Stone, and Related Construction Material Merchant Wholesalers	6	T	977	
42333X	Roofing, Siding, and Insulation Material Merchant Wholesalers	6	T	978	
4233XX	Lumber and Other Construction Materials Merchant Wholesalers	5	T	975	
42342X	Office Equipment Merchant Wholesalers	6	T	982	
42343X	Computer and Computer Peripheral Equipment and Software Merchant Wholesalers	6	T	983	
42344X	Other Commercial Equipment Merchant Wholesalers	6	T	984	
42345X	Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers	6	T	985	
4234XX	Professional and Commercial Equipment and Supplies Merchant Wholesalers	5	T	980	
42351X	Metal Service Centers and Other Metal Merchant Wholesalers	6	T	989	
4235XX	Metal and Mineral (except Petroleum) Merchant Wholesalers	5	T	988	
