industry_code	industry_text	display_level	selectable	sort_sequence
238992	All other nonresidential specialty trade contractors	7	T	231	
23899X	All other specialty trade contractors	6	T	229	
2389XX	Other specialty trade contractors	5	T	223	
238XXX	Specialty trade contractors	4	T	160	
311111	Dog and cat food manufacturing	7	T	237	
31111X	Animal food manufacturing	6	T	236	
3111XX	Animal food manufacturing	5	T	235	
311211	Flour milling	7	T	240	
311212	Rice milling	7	T	241	
31121X	Flour milling and malt manufacturing	6	T	239	
311221	Wet corn milling	7	T	244	
311222	Soybean processing	7	T	245	
311224	Soybean and other oilseed processing	7	T	247	
311225	Fats and oils refining and blending	7	T	248	
31122X	Starch and vegetable fats and oils manufacturing	6	T	243	
31123X	Breakfast cereal manufacturing	6	T	249	
3112XX	Grain and oilseed milling	5	T	238	
311313	Beet sugar manufacturing	7	T	254	
31131X	Sugar manufacturing	6	T	251	
31134X	Nonchocolate confectionery manufacturing	6	T	258	
3113XX	Sugar and confectionery product manufacturing	5	T	250	
311411	Frozen fruit, juice, and vegetable manufacturing	7	T	264	
311412	Frozen specialty food manufacturing	7	T	265	
31141X	Frozen food manufacturing	6	T	263	
311421	Fruit and vegetable canning	7	T	267	
311423	Dried and dehydrated food manufacturing	7	T	269	
31142X	Fruit and vegetable canning, pickling, and drying	6	T	266	
3114XX	Fruit and vegetable preserving and specialty food manufacturing	5	T	262	
311511	Fluid milk manufacturing	7	T	272	
311513	Cheese manufacturing	7	T	274	
31151X	Dairy product (except frozen) manufacturing	6	T	271	
31152X	Ice cream and frozen dessert manufacturing	6	T	276	
3115XX	Dairy product manufacturing	5	T	270	
311611	Animal (except poultry) slaughtering	7	T	279	
311612	Meat processed from carcasses	7	T	280	
311613	Rendering and meat byproduct processing	7	T	281	
311615	Poultry processing	7	T	282	
31161X	Animal slaughtering and processing	6	T	278	
3116XX	Animal slaughtering and processing	5	T	277	
31171X	Seafood product preparation and packaging	6	T	284	
3117XX	Seafood product preparation and packaging	5	T	283	
311811	Retail bakeries	7	T	289	
311812	Commercial bakeries	7	T	290	
31181X	Bread and bakery product manufacturing	6	T	288	
311824	Dry pasta, dough, and flour mixes manufacturing from purchased flour	7	T	296	
31182X	Cookie, cracker, and pasta manufacturing	6	T	292	
3118XX	Bakeries and tortilla manufacturing	5	T	287	
311911	Roasted nuts and peanut butter manufacturing	7	T	300	
31191X	Snack food manufacturing	6	T	299	
311942	Spice and extract manufacturing	7	T	305	
31194X	Seasoning and dressing manufacturing	6	T	303	
311991	Perishable prepared food manufacturing	7	T	307	
31199X	All other food manufacturing	6	T	306	
3119XX	Other food manufacturing	5	T	298	
311XXX	Food manufacturing	4	T	234	
312111	Soft drink manufacturing	7	T	311	
312112	Bottled water manufacturing	7	T	312	
31211X	Soft drink and ice manufacturing	6	T	310	
31212X	Breweries	6	T	314	
31213X	Wineries	6	T	315	
31214X	Distilleries	6	T	316	
3121XX	Beverage manufacturing	5	T	309	
31223X	Tobacco manufacturing	6	T	321	
3122XX	Tobacco manufacturing	5	T	317	
312XXX	Beverage and tobacco product manufacturing	4	T	308	
31321X	Broadwoven fabric mills	6	T	329	
3132XX	Fabric mills	5	T	328	
313312	Textile and fabric finishing (except broadwoven fabric) mills	7	T	339	
31331X	Textile and fabric finishing mills	6	T	337	
3133XX	Textile and fabric finishing and fabric coating mills	5	T	336	
313XXX	Textile mills	4	T	322	
31412X	Curtain and linen mills	6	T	344	
3141XX	Textile furnishings mills	5	T	342	
314XXX	Textile product mills	4	T	341	
31519X	Other apparel knitting mills	6	T	358	
3151XX	Apparel knitting mills	5	T	355	
3152XX	Cut and sew apparel manufacturing	5	T	361	
315XXX	Apparel manufacturing	4	T	354	
31611X	Leather and hide tanning and finishing	6	T	388	
3161XX	Leather and hide tanning and finishing	5	T	387	
316XXX	Leather and allied product manufacturing	4	T	386	
321113	Sawmills	7	T	403	
32111X	Sawmills and wood preservation	6	T	402	
3211XX	Sawmills and wood preservation	5	T	401	
321211	Hardwood veneer and plywood manufacturing	7	T	407	
321212	Softwood veneer and plywood manufacturing	7	T	408	
321214	Truss manufacturing	7	T	410	
32121X	Veneer, plywood, and engineered wood product manufacturing	6	T	406	
3212XX	Veneer, plywood, and engineered wood product manufacturing	5	T	405	
321911	Wood window and door manufacturing	7	T	413	
321912	Cut stock, resawing lumber, and planing	7	T	414	
32191X	Millwork	6	T	412	
32192X	Wood container and pallet manufacturing	6	T	415	
321991	Manufactured home (mobile home) manufacturing	7	T	417	
32199X	All other wood product manufacturing	6	T	416	
3219XX	Other wood product manufacturing	5	T	411	
321XXX	Wood product manufacturing	4	T	400	
32211X	Pulp mills	6	T	421	
322121	Paper (except newsprint) mills	7	T	423	
322122	Newsprint mills	7	T	424	
32212X	Paper mills	6	T	422	
32213X	Paperboard mills	6	T	425	
3221XX	Pulp, paper, and paperboard mills	5	T	420	
