industry_code	industry_text	display_level	selectable	sort_sequence
3252XX	Resin rubber and artificial fibers mfg.	5	T	508	
325311	Nitrogenous fertilizer manufacturing	7	T	517	
325312	Phosphatic fertilizer manufacturing	7	T	518	
325314	Fertilizer mixing only manufacturing	7	T	519	
32531X	Fertilizer manufacturing	6	T	516	
32532X	Pesticide and other ag. chemical mfg.	6	T	520	
3253XX	Agricultural chemical manufacturing	5	T	515	
325411	Medicinal and botanical manufacturing	7	T	523	
325412	Pharmaceutical preparation manufacturing	7	T	524	
325413	In-vitro diagnostic substance manufacturing	7	T	525	
325414	Other biological product manufacturing	7	T	526	
32541X	Pharmaceutical and medicine manufacturing	6	T	522	
3254XX	Pharmaceutical and medicine manufacturing	5	T	521	
32551X	Paint and coating manufacturing	6	T	528	
32552X	Adhesive manufacturing	6	T	529	
3255XX	Paint coating and adhesive manufacturing	5	T	527	
325611	Soap and other detergent manufacturing	7	T	532	
325612	Polish and other sanitation good mfg.	7	T	533	
325613	Surface active agent manufacturing	7	T	534	
32561X	Soap and cleaning compound manufacturing	6	T	531	
32562X	Toilet preparation manufacturing	6	T	535	
3256XX	Soap cleaning compound and toiletry mfg.	5	T	530	
32591X	Printing ink manufacturing	6	T	537	
32592X	Explosives manufacturing	6	T	538	
325991	Custom compounding of purchased resins	7	T	540	
325992	Photographic film and chemical manufacturing	7	T	541	
325998	Other miscellaneous chemical product mfg.	7	T	542	
32599X	All other chemical preparation manufacturing	6	T	539	
3259XX	Other chemical product and preparation mfg.	5	T	536	
325XXX	Chemical manufacturing	4	T	491	
326111	Plastics bag and pouch manufacturing	7	T	546	
326112	Plastics packaging film and sheet mfg.	7	T	547	
326113	Nonpackaging plastics film and sheet mfg.	7	T	548	
32611X	Plastics packaging materials film and sheet	6	T	545	
326121	Unlaminated plastics profile shape mfg.	7	T	550	
326122	Plastics pipe and pipe fitting manufacturing	7	T	551	
32612X	Plastics pipe fittings and profile shapes	6	T	549	
32613X	Laminated plastics plate sheet and shapes	6	T	552	
32614X	Polystyrene foam product manufacturing	6	T	553	
32615X	Urethane and other foam product manufacturing	6	T	554	
32616X	Plastics bottle manufacturing	6	T	555	
326191	Plastics plumbing fixture manufacturing	7	T	557	
326192	Resilient Floor Covering Mfg(discontinued in 2014)	1	T	558	
326199	All other plastics product manufacturing(definition changed in 2014)	7	T	559	
32619X	Other plastics product manufacturing	6	T	556	
3261XX	Plastics product manufacturing	5	T	544	
326211	Tire manufacturing except retreading	7	T	562	
326212	Tire retreading	7	T	563	
32621X	Tire manufacturing	6	T	561	
32622X	Rubber and plastics hose and belting mfg.	6	T	564	
326291	Rubber product mfg. for mechanical use	7	T	566	
326299	All other rubber product manufacturing	7	T	567	
32629X	Other rubber product manufacturing	6	T	565	
3262XX	Rubber product manufacturing	5	T	560	
326XXX	Plastics and rubber products manufacturing	4	T	543	
327111	Vitreous China Plumbing Fixture China Earthenware Bathroom Acc Mfg(discontinued in 2014)	1	T	571	
327112	Vitreous China Fine Earthenware and Other Pottery Product Mfg(discontinued in 2014)	1	T	572	
